E,Y
17.5,46816.47940075025
18.72596153846154,99250.9363295883
19.519230769230766,204119.85018726438
20.444711538461533,387640.4494382031
21.502403846153847,676029.962546818
22.427884615384613,990636.70411985
23.48557692307692,1331460.6741573028
24.543269230769234,1750936.3295880146
25.46875,2222846.4419475645
26.658653846153847,2747191.0112359542
27.584134615384613,3192883.895131087
28.377403846153847,3638576.779026216
29.567307692307686,4058052.4344569277
30.625,4477528.0898876395
31.550480769230766,4870786.516853932
32.47596153846154,5132958.801498124
33.53365384615385,5499999.999999998
34.59134615384615,5709737.827715356
35.51682692307693,5867041.19850187
36.4423076923077,6129213.483146066
37.56610576923077,6155430.711610487
38.557692307692314,6443820.2247191
39.48317307692308,6365168.539325841
40.540865384615394,6417602.996254681
41.46634615384616,6338951.310861422
42.52403846153847,6365168.539325841
43.44951923076924,6365168.539325841
44.50721153846155,6260299.625468163
45.43269230769232,6286516.853932584
46.49038461538461,6155430.711610487
47.54807692307692,6234082.397003746
48.47355769230769,5971910.11235955
49.53125,5919475.655430712
50.45673076923079,5893258.426966291
51.38221153846155,5735955.056179773
52.439903846153854,5709737.827715356
53.49759615384616,5499999.999999998
54.423076923076934,5342696.629213484
55.480769230769226,5237827.715355806
56.406250000000014,5237827.715355806
57.46394230769231,5106741.573033707
58.389423076923094,11005617.977528088
59.579326923076934,15619850.187265916
60.50480769230769,4634831.460674157
61.43028846153848,4661048.6891385745
62.35576923076924,4372659.176029962
63.54567307692308,4372659.176029962
64.33894230769232,4346441.9475655425
65.39663461538463,4189138.5767790247
66.45432692307692,4005617.9775280897
67.51201923076924,8069288.389513107
68.43750000000001,3795880.1498127338
69.4951923076923,4556179.775280897
70.4206730769231,3219101.123595504
71.47836538461539,3166666.666666666
72.40384615384616,3035580.524344569
73.46153846153847,2904494.382022472
74.38701923076924,2878277.153558051
75.44471153846153,2852059.9250936303
76.50240384615385,2720973.782771537
77.42788461538463,2747191.0112359542
78.48557692307692,2642322.0973782763
79.41105769230771,2537453.1835205983
80.46875,2485018.7265917584
81.5264423076923,2432584.2696629204
82.58413461538463,2275280.8988764025
83.37740384615385,2196629.2134831473
84.5673076923077,2144194.7565543056
85.49278846153847,2065543.0711610466
86.41826923076924,2091760.2996254675
87.47596153846155,1882022.4719101116
88.26923076923077,1855805.2434456944
89.3269230769231,1724719.1011235937
90.51682692307693,1750936.3295880146
91.4423076923077,1646067.4157303348
92.5,1619850.1872659177
93.29326923076924,1514981.2734082416
94.35096153846155,1462546.8164793998
95.40865384615387,1436329.588014979
96.46634615384616,1383895.1310861409
97.52403846153847,1279026.2172284648
98.44951923076924,1252808.988764044
99.50721153846155,1174157.303370785
100.56490384615385,1121722.846441947
101.3581730769231,1069288.3895131089
102.28365384615385,1016853.9325842708
103.34134615384616,990636.70411985
104.39903846153848,885767.7902621739
105.45673076923077,833333.3333333321
106.38221153846155,754681.6479400732
107.43990384615387,702247.1910112351
108.49759615384616,623595.5056179762
109.55528846153848,597378.2771535553
110.61298076923077,544943.820224721
111.40625,492509.3632958792
112.33173076923077,413857.6779026203
113.52163461538464,387640.4494382031
114.57932692307693,308988.7640449442
115.50480769230771,256554.30711610243
116.43028846153845,177902.62172284722
117.4879807692308,125468.16479400545
118.28125,99250.9363295883
119.33894230769232,46816.47940075025
120.0,0.0
